Marker,Allele,Dye
D3S1358,9,0
D3S1358,10,0
D3S1358,11,0
D3S1358,12,0
D3S1358,13,0
D3S1358,14,0
D3S1358,15,0
D3S1358,16,0
D3S1358,17,0
D3S1358,18,0
D3S1358,19,0
D3S1358,20,0
vWA,11,0
vWA,12,0
vWA,13,0
vWA,14,0
vWA,15,0
vWA,16,0
vWA,17,0
vWA,18,0
vWA,19,0
vWA,20,0
vWA,21,0
vWA,22,0
vWA,23,0
vWA,24,0
D16S539,5,0
D16S539,8,0
D16S539,9,0
D16S539,10,0
D16S539,11,0
D16S539,12,0
D16S539,13,0
D16S539,14,0
D16S539,15,0
CSF1PO,6,0
CSF1PO,7,0
CSF1PO,8,0
CSF1PO,9,0
CSF1PO,10,0
CSF1PO,11,0
CSF1PO,12,0
CSF1PO,13,0
CSF1PO,14,0
CSF1PO,15,0
TPOX,5,0
TPOX,6,0
TPOX,7,0
TPOX,8,0
TPOX,9,0
TPOX,10,0
TPOX,11,0
TPOX,12,0
TPOX,13,0
TPOX,14,0
TPOX,15,0
Yindel,1,1
Yindel,2,1
AMEL,X,1
AMEL,Y,1
D8S1179,5,1
D8S1179,6,1
D8S1179,7,1
D8S1179,8,1
D8S1179,9,1
D8S1179,10,1
D8S1179,11,1
D8S1179,12,1
D8S1179,13,1
D8S1179,14,1
D8S1179,15,1
D8S1179,16,1
D8S1179,17,1
D8S1179,18,1
D8S1179,19,1
D21S11,24,1
D21S11,24.2,1
D21S11,25,1
D21S11,26,1
D21S11,27,1
D21S11,28,1
D21S11,28.2,1
D21S11,29,1
D21S11,29.2,1
D21S11,30,1
D21S11,30.2,1
D21S11,31,1
D21S11,31.2,1
D21S11,32,1
D21S11,32.2,1
D21S11,33,1
D21S11,33.2,1
D21S11,34,1
D21S11,34.2,1
D21S11,35,1
D21S11,35.2,1
D21S11,36,1
D21S11,37,1
D21S11,38,1
D18S51,7,1
D18S51,9,1
D18S51,10,1
D18S51,10.2,1
D18S51,11,1
D18S51,12,1
D18S51,13,1
D18S51,13.2,1
D18S51,14,1
D18S51,14.2,1
D18S51,15,1
D18S51,16,1
D18S51,17,1
D18S51,18,1
D18S51,19,1
D18S51,20,1
D18S51,21,1
D18S51,22,1
D18S51,23,1
D18S51,24,1
D18S51,25,1
D18S51,26,1
D18S51,27,1
DYS391,7,1
DYS391,8,1
DYS391,9,1
DYS391,10,1
DYS391,11,1
DYS391,12,1
DYS391,13,1
D2S441,8,2
D2S441,9,2
D2S441,10,2
D2S441,11,2
D2S441,11.3,2
D2S441,12,2
D2S441,13,2
D2S441,14,2
D2S441,15,2
D2S441,16,2
D2S441,17,2
D19S433,6,2
D19S433,7,2
D19S433,8,2
D19S433,9,2
D19S433,10,2
D19S433,11,2
D19S433,12,2
D19S433,12.2,2
D19S433,13,2
D19S433,13.2,2
D19S433,14,2
D19S433,14.2,2
D19S433,15,2
D19S433,15.2,2
D19S433,16,2
D19S433,16.2,2
D19S433,17,2
D19S433,17.2,2
D19S433,18.2,2
D19S433,19.2,2
TH01,4,2
TH01,5,2
TH01,6,2
TH01,7,2
TH01,8,2
TH01,9,2
TH01,9.3,2
TH01,10,2
TH01,11,2
TH01,13.3,2
FGA,13,2
FGA,14,2
FGA,15,2
FGA,16,2
FGA,17,2
FGA,18,2
FGA,19,2
FGA,20,2
FGA,21,2
FGA,22,2
FGA,23,2
FGA,24,2
FGA,25,2
FGA,26,2
FGA,26.2,2
FGA,27,2
FGA,28,2
FGA,29,2
FGA,30,2
FGA,30.2,2
FGA,31.2,2
FGA,32.2,2
FGA,33.2,2
FGA,42.2,2
FGA,43.2,2
FGA,44.2,2
FGA,45.2,2
FGA,46.2,2
FGA,47.2,2
FGA,48.2,2
FGA,50.2,2
FGA,51.2,2
D22S1045,8,3
D22S1045,9,3
D22S1045,10,3
D22S1045,11,3
D22S1045,12,3
D22S1045,13,3
D22S1045,14,3
D22S1045,15,3
D22S1045,16,3
D22S1045,17,3
D22S1045,18,3
D22S1045,19,3
D5S818,7,3
D5S818,8,3
D5S818,9,3
D5S818,10,3
D5S818,11,3
D5S818,12,3
D5S818,13,3
D5S818,14,3
D5S818,15,3
D5S818,16,3
D5S818,17,3
D5S818,18,3
D13S317,5,3
D13S317,6,3
D13S317,7,3
D13S317,8,3
D13S317,9,3
D13S317,10,3
D13S317,11,3
D13S317,12,3
D13S317,13,3
D13S317,14,3
D13S317,15,3
D13S317,16,3
D7S820,6,3
D7S820,7,3
D7S820,8,3
D7S820,9,3
D7S820,10,3
D7S820,11,3
D7S820,12,3
D7S820,13,3
D7S820,14,3
D7S820,15,3
SE33,4.2,3
SE33,6.3,3
SE33,8,3
SE33,9,3
SE33,11,3
SE33,12,3
SE33,13,3
SE33,14,3
SE33,15,3
SE33,16,3
SE33,17,3
SE33,18,3
SE33,19,3
SE33,20,3
SE33,20.2,3
SE33,21,3
SE33,21.2,3
SE33,22.2,3
SE33,23.2,3
SE33,24.2,3
SE33,25.2,3
SE33,26.2,3
SE33,27.2,3
SE33,28.2,3
SE33,29.2,3
SE33,30.2,3
SE33,31.2,3
SE33,32.2,3
SE33,33.2,3
SE33,34.2,3
SE33,35,3
SE33,35.2,3
SE33,36,3
SE33,37,3
D10S1248,8,4
D10S1248,9,4
D10S1248,10,4
D10S1248,11,4
D10S1248,12,4
D10S1248,13,4
D10S1248,14,4
D10S1248,15,4
D10S1248,16,4
D10S1248,17,4
D10S1248,18,4
D10S1248,19,4
D1S1656,9,4
D1S1656,10,4
D1S1656,11,4
D1S1656,12,4
D1S1656,13,4
D1S1656,14,4
D1S1656,14.3,4
D1S1656,15,4
D1S1656,15.3,4
D1S1656,16,4
D1S1656,16.3,4
D1S1656,17,4
D1S1656,17.3,4
D1S1656,18.3,4
D1S1656,19.3,4
D1S1656,20.3,4
D12S391,14,4
D12S391,15,4
D12S391,16,4
D12S391,17,4
D12S391,18,4
D12S391,19,4
D12S391,19.3,4
D12S391,20,4
D12S391,21,4
D12S391,22,4
D12S391,23,4
D12S391,24,4
D12S391,25,4
D12S391,26,4
D12S391,27,4
D2S1338,11,4
D2S1338,12,4
D2S1338,13,4
D2S1338,14,4
D2S1338,15,4
D2S1338,16,4
D2S1338,17,4
D2S1338,18,4
D2S1338,19,4
D2S1338,20,4
D2S1338,21,4
D2S1338,22,4
D2S1338,23,4
D2S1338,24,4
D2S1338,25,4
D2S1338,26,4
D2S1338,27,4
D2S1338,28,4
